年度,日期,活動名稱,場次狀態,email網域,正取,候補,請假
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@mxdigi.com,4,0,1
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@grandpr.com.tw,3,1,0
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@unismart.com.tw,3,0,0
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@hakuhodotm.com.tw,2,0,0
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@ky-post.com,2,0,0
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@meshplus.com.tw,1,0,1
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@ua.com.tw,2,0,0
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@gmail.com,1,0,0
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@pilotpr.com.tw,1,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@medialand.tw,6,0,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@mxdigi.com,4,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@meshplus.com.tw,2,0,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@planetpr.com.tw,1,0,2
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@2008-media.com,0,0,2
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@hakuhodotm.com.tw,2,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@ua.com.tw,2,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@ace-taipei.com,1,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@ky-post.com,1,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@medialand.com,1,0,0
