年度,日期,活動名稱,報到表,email網域,歸屬公司,正取,候補,請假,報到
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@mxdigi.com,米蘭 MDCG,2,0,3,0
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@unismart.com.tw,聯廣 UCG,1,0,4,0
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@hakuhodotm.com.tw,台北博報堂 HTM,3,0,1,0
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@medialand.tw,米蘭 MDCG,3,0,1,0
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@ua.com.tw,聯廣 UCG,3,0,0,0
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@ky-post.com,光洋波斯特,2,0,0,0
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@meshplus.com.tw,米蘭 MDCG,1,0,0,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@hakuhodotm.com.tw,台北博報堂 HTM,5,0,2,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@medialand.tw,米蘭 MDCG,6,0,0,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@mxdigi.com,米蘭 MDCG,4,0,1,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@ua.com.tw,聯廣 UCG,4,0,1,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@ky-post.com,光洋波斯特,3,0,0,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@unismart.com.tw,聯廣 UCG,3,0,0,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@2008-media.com,2008傳媒,2,0,0,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@unisincere.com.tw,聯廣 UCG,2,0,0,0
2025,2025-12-26,呼吸清理・找回身體的原廠設定,無,@meshplus.com.tw,米蘭 MDCG,1,0,0,0
2025,2025-12-19,練息場HR特邀場｜森之聖誕・微醺療癒,無,@hakuhodotm.com.tw,台北博報堂 HTM,9,0,0,0
2025,2025-12-19,練息場HR特邀場｜森之聖誕・微醺療癒,無,@interplan.com.tw,安益,3,0,0,0
2025,2025-12-19,練息場HR特邀場｜森之聖誕・微醺療癒,無,@medialand.tw,米蘭 MDCG,2,0,1,0
2025,2025-12-19,練息場HR特邀場｜森之聖誕・微醺療癒,無,@pilotpr.com.tw,先勢集團,2,0,0,0
2025,2025-12-19,練息場HR特邀場｜森之聖誕・微醺療癒,無,@hakuhodoti.com.tw,台北博報堂 HTM,1,0,0,0
2025,2025-11-21,上午10:00 ｜ RESET！讓內耗退場的動力發光術,無,@medialand.tw,米蘭 MDCG,5,0,0,0
